STATEFP,GEOID,NAME,CDP02_92E,OBJECTID,NCESID,STATEABBREV
17,1704560,Atwood Heights School District 125,495,1189,1704560,IL
17,1704740,Aviston School District 21,195,1190,1704740,IL
17,1704800,Avoca School District 37,435,1191,1704800,IL
17,1704950,Bannockburn School District 106,120,1192,1704950,IL
17,1705160,Bartelso School District 57,130,1193,1705160,IL
17,1705190,Bartonville School District 66,160,1194,1705190,IL
17,1705570,Opdyke-Belle Rive Community Consolidated School District 5,135,1196,1705570,IL
17,1705580,Belle Valley School District 119,620,1197,1705580,IL
17,1705610,Belleville School District 118,2430,1198,1705610,IL
17,1705760,Bellwood School District 88,1590,1199,1705760,IL
17,1705880,Benjamin School District 25,475,1200,1705880,IL
17,1705910,Bensenville School District 2,1420,1201,1705910,IL
17,1705950,Benton Community Consolidated School District 47,735,1202,1705950,IL
17,1706000,Berkeley School District 87,1800,1203,1706000,IL
17,1706060,Berwyn North School District 98,2275,1204,1706060,IL
17,1706090,Berwyn South School District 100,2205,1205,1706090,IL
17,1706180,Bethel School District 82,75,1206,1706180,IL
17,1706270,Big Hollow School District 38,975,1207,1706270,IL
17,1706450,Bloomingdale School District 13,780,1208,1706450,IL
17,1706510,Cook County School District 130,2255,1209,1706510,IL
17,1706630,Bluford Community Consolidated School District 114,220,1210,1706630,IL
17,1706750,Bourbonnais School District 53,1515,1211,1706750,IL
17,1706840,Braceville School District 75,100,1212,1706840,IL
17,1706930,Bradley School District 61,1020,1213,1706930,IL
17,1707010,Breese School District 12,445,1214,1707010,IL
17,1707170,Indian Springs School District 109,1820,1215,1707170,IL
17,1707290,Lemont-Bromberek Combined School District 113A,1640,1216,1707290,IL
17,1707320,Brookfield School District 95,700,1217,1707320,IL
17,1707740,Buncombe Consolidated School District 43,30,1218,1707740,IL
17,1707860,Burnham School District 154-5,125,1219,1707860,IL
17,1707980,Butler School District 53,220,1220,1707980,IL
17,1708130,Calumet Public School District 132,665,1222,1708130,IL
17,1708310,Carbon Cliff-Barstow School District 36,190,1223,1708310,IL
17,1708730,Cary Community Consolidated School District 26,1740,1226,1708730,IL
17,1708790,Cass School District 63,555,1227,1708790,IL
17,1708970,Center Cass School District 66,865,1228,1708970,IL
17,1709150,Central School District 51,750,1229,1709150,IL
17,1709170,Central School District 104,315,1230,1709170,IL
17,1709180,Central City School District 133,175,1231,1709180,IL
17,1709210,Lockport School District 91,420,1232,1709210,IL
17,1709270,Centralia School District 135,950,1233,1709270,IL
17,1709510,Chaney-Monge School District 88,455,1234,1709510,IL
17,1709540,Channahon School District 17,845,1235,1709540,IL
17,1709850,Chester-East Lincoln Community Csd 61,235,1236,1709850,IL
17,1709960,Chicago Heights School District 170,1770,1237,1709960,IL
17,1709990,Chicago Ridge School District 127-5,980,1238,1709990,IL
17,1710200,Cicero School District 99,8405,1239,1710200,IL
17,1710380,Skokie School District 73-5,670,1240,1710380,IL
17,1710470,Community Consolidated School District 93,2595,1241,1710470,IL
17,1710860,Cornell Community Consolidated School District 426,65,1243,1710860,IL
17,1710950,Ford Heights School District 169,205,1244,1710950,IL
17,1711010,Country Club Hills School District 160,990,1245,1711010,IL
17,1711220,Creston Community Consolidated School District 161,45,1246,1711220,IL
17,1711350,Crystal Lake Community Consolidated School District 47,4695,1248,1711350,IL
17,1711520,Cypress School District 64,50,1249,1711520,IL
17,1711730,Damiansville School District 62,65,1252,1711730,IL
17,1711910,Deer Park Community Consolidated School District 82,65,1253,1711910,IL
17,1711980,Deerfield School District 109,1760,1254,1711980,IL
17,1712120,Des Plaines Community Consolidated School District 62,3190,1255,1712120,IL
17,1712150,De Soto Consolidated School District 86,145,1256,1712150,IL
17,1712210,Diamond Lake School District 76,670,1257,1712210,IL
17,1712270,Dimmick Community Consolidated School District 175,125,1258,1712270,IL
17,1712420,Dolton School District 149,1885,1259,1712420,IL
17,1712450,Dolton School District 148,1855,1260,1712450,IL
17,1712540,Downers Grove Grade School District 58,3040,1261,1712540,IL
17,1712840,Dwight Common School District 232,330,1262,1712840,IL
17,1712960,East Alton School District 13,595,1263,1712960,IL
17,1713140,East Maine School District 63,2250,1264,1713140,IL
17,1713170,East Moline School District 37,2245,1265,1713170,IL
17,1713240,East Peoria School District 86,1065,1266,1713240,IL
17,1713770,Community Consolidated School District 59,4455,1269,1713770,IL
17,1714160,Elwood Community Consolidated School District 203,245,1270,1714160,IL
17,1714220,Harmony Emge School District 175,575,1271,1714220,IL
17,1714250,Emmons School District 33,220,1272,1714250,IL
17,1714410,Eswood Community Consolidated District 269,70,1273,1714410,IL
17,1714460,Evanston Community Consolidated School District 65,4645,1274,1714460,IL
17,1714640,Ewing Northern Community Consolidated District 115,135,1276,1714640,IL
17,1714710,Fairfield Public School District 112,400,1277,1714710,IL
17,1714760,Fairmont School District 89,200,1278,1714760,IL
